id,subject_id,chapter_id,question,option_1,option_2,option_3,option_4,answer,created_at,updated_at
f4acc1bd-2397-4a48-9925-e0a391d8f2d5,d862b9ed-aaa5-4725-a995-5f67c7f0c8f0,1e9d9931-8071-4cb9-b55d-53771462b749,"Give opposite gender for: 'Ram'(GSSSB NI 2020)",Ewe,Laxman,Ramila,Goddess,option_1,2020-08-23 18:55:45,2020-08-23 18:55:45
17003c9e-ccf8-427a-87f3-e4df2e9a3745,d862b9ed-aaa5-4725-a995-5f67c7f0c8f0,1e9d9931-8071-4cb9-b55d-53771462b749,"The gender of the word 'Parent' is of which type? (HNGU JC 2019)",Masculine Gender,Feminine Gender,Common Gender,Neuter Gender,option_3,2020-08-23 19:00:03,2020-08-23 19:00:03
72335a00-d485-4cc4-96c4-8cea7e144895,d862b9ed-aaa5-4725-a995-5f67c7f0c8f0,1e9d9931-8071-4cb9-b55d-53771462b749,"Change the gender of: (GSSSB CO 2019)
 'Wizard'",Witch,Wizerdess,Wizardy,Wizardes,option_1,2020-08-23 19:06:41,2020-08-23 19:06:41
166a3e39-a207-4e30-9fe8-cf33e6b2371a,d862b9ed-aaa5-4725-a995-5f67c7f0c8f0,1e9d9931-8071-4cb9-b55d-53771462b749,"Give opposite gender for: 'Bullock' (GSSSB OSCF 2019)",Heifer,Bully,Calf,Colt,option_1,2020-08-23 19:18:41,2020-08-23 19:18:41
0e64bbdd-00f0-4eb8-865c-f2791af38cf8,d862b9ed-aaa5-4725-a995-5f67c7f0c8f0,1e9d9931-8071-4cb9-b55d-53771462b749,"Give opposite gender for: 'Colt' (GSSSB OSUD 2019)",Filly,Colty,Mare,Horse,option_1,2020-08-23 19:21:27,2020-08-23 19:21:27
41d2c552-a020-45c4-ad8d-84dbc858e776,d862b9ed-aaa5-4725-a995-5f67c7f0c8f0,1e9d9931-8071-4cb9-b55d-53771462b749,"Change the gender of: 'Duck'(GSSSB BS 2019)",Dutch,Duke,Drake,Dukling,option_3,2020-08-23 19:31:50,2020-08-23 19:31:50
0b8fffa0-bf8d-466d-a3d6-e0d6199e7595,d862b9ed-aaa5-4725-a995-5f67c7f0c8f0,1e9d9931-8071-4cb9-b55d-53771462b749,"Give opposite gender for: 'Earl' (AMC SGS 2019)",Countess,Emperor,Late,Early,option_1,2020-08-23 19:36:05,2020-08-23 19:36:05
14e0a5e8-f70e-4d55-b9bb-3e95dfc7342e,d862b9ed-aaa5-4725-a995-5f67c7f0c8f0,1e9d9931-8071-4cb9-b55d-53771462b749,Find out the masculine noun.(GSRTC ES 2019),Aunt,Waiter,Fiancee,Hen,option_2,2020-08-23 19:44:53,2020-08-23 19:44:53
8dbb267f-67ef-44bf-a745-b0c02e4f5416,d862b9ed-aaa5-4725-a995-5f67c7f0c8f0,1e9d9931-8071-4cb9-b55d-53771462b749,Select opposite gender of the following.(GSSSB 2019),roe,harty,hen,hartess,option_1,2020-08-23 19:51:18,2020-08-23 19:51:18
148a259a-82be-40b9-b97f-94ef8d2839cd,d862b9ed-aaa5-4725-a995-5f67c7f0c8f0,1e9d9931-8071-4cb9-b55d-53771462b749,"Select opposite gender of the following. (GSSSB HC 2019)
'Buck'",deer,doe,bitch,buckess,option_2,2020-08-23 19:54:34,2020-08-23 19:54:34
f53cd462-93b7-4843-b8b1-914a33160bab,d862b9ed-aaa5-4725-a995-5f67c7f0c8f0,1e9d9931-8071-4cb9-b55d-53771462b749,"Change the gender: (GSSSB JI 2018)
'Fox'",Vixen,Jackle/Jackal,Foxen,Foxy,option_1,2020-08-23 19:57:54,2020-08-23 19:57:54
8b8af8d4-7602-43e1-a0a3-63a8acdbe96a,d862b9ed-aaa5-4725-a995-5f67c7f0c8f0,1e9d9931-8071-4cb9-b55d-53771462b749,"Change the gender:(GSSSB JI 2018)
'Stag'",Hind,Stagi,Stagnant,Hynd,option_1,2020-08-23 20:00:55,2020-08-23 20:00:55
